Sector,Weight
Basic Materials,0.00012522738685262334
Cash,0.16079701835476312
Communication Services,0.047540239041265295
Consumer Cyclical,0.031571241813270284
Consumer Defensive,0.015309401368978596
Consumer Goods,0.009669511478284891
Energy,0.042937458042508356
Exchange Traded Fund,0.4072508220188633
Healthcare,0.14239127990826367
Industrials,0.08095536204697953
Real Estate,0.004131764993078018
Technology,0.04305799582646756
Utilities,0.01426371628544906
