Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM,Portfolio Value
2019-01-02,12313.04004,24254.915874000002,22553.39632,18758.801376,8135.1,12535.617645,11403.0007,1398.8191229999998,41290.555698,83246.40000000001,1314.1824350000002,9148.200316,1231.52,148047.659214,42570.646335000005,1310.0,11115.0,4022.506426,18891.30782,25832.610987000004,1206.07155,13033.87637,207074.39343,579.0,51573.8724,1240.47998,12666.159506,5618.999849999999,40992.366024,1362.1841279999999,17369.046828000002,852089.730375
2019-01-03,12002.240232,23315.224779,21654.21419,18523.239264000003,8017.2,12476.378510999999,10885.0,1364.217822,41236.05423,83990.88,1281.170195,8780.06,1255.6,148091.663475,41697.72148500001,1240.0,11169.720456000001,4071.313641,18396.731738,25337.699577,1209.9329639999999,12666.045415,207495.35283000002,568.0,52160.75065,1201.43994,12597.0,5883.000150000001,41138.714529,1269.2594159999999,17102.367828000002,848078.1933169999
2019-01-04,12603.12012,24057.839862,22781.15049,19103.526144,7970.04,12592.742540999998,11837.0,1403.355519,42097.1803,83381.76,1315.7214350000002,9067.619842,1317.52,148091.663475,42953.60663999999,1308.00004,11349.839772,4075.3808740000004,19008.626559999997,25998.989858999998,1250.883684,13000.053254999999,207049.65777,595.0,51556.982475,1270.760008,12577.239506,5410.5,41241.159603,1323.020448,17732.927268,855322.8674899999
2019-01-07,13036.08008,23592.277072,22852.89153,19008.7272,8606.699999999999,12668.908359000001,11770.50035,1411.182999,42304.288754,83584.8,1330.8125300000002,9130.820158,1400.0800000000002,148076.990957,42480.538694999996,1360.0,11347.560000000001,4083.514921,19156.616787000003,26416.350846,1278.0946169999997,13137.038235,206901.08196,621.0,51404.9842,1339.839964,12522.900000000001,5296.50015,41504.589153,1370.0168279999998,17825.14314,856820.8294850001
2019-01-08,13252.639648,23669.396268,23717.94523,18957.0168,8913.24,12810.660923999998,11696.9993,1411.2721259999998,42576.798306,83381.76,1339.69864,9383.619842,1401.8,148091.663475,42795.916002,1349.6000800000002,11468.399772,3985.901329,19243.264117,26850.629012999998,1277.0168580000002,13293.472915,206777.27667,640.0,51269.872874999994,1341.400024,12562.42,5185.5,42719.285106,1356.8436720000002,17954.74422,860676.0532119999
2019-01-09,13275.360352,24417.719781,23947.790859999997,19281.634272,8842.5,12969.339108,12138.0,1431.196659,42729.400868000004,83855.52,1343.0247499999998,9549.519842,1417.28,148135.65592000002,42469.278642,1417.59996,11527.680228,4002.170261,19334.510118,27228.510141000002,1309.4361450000001,13354.353909999998,206876.32887,628.0,51189.65030000001,1354.1199960000001,12443.860494,5065.500000000001,42181.754364,1416.657204,18049.451868,863182.8049130001
2019-01-10,13249.759768,24580.523401,24559.31884,19336.214303999997,9361.26,13079.356590000001,12008.50035,1444.805973,42903.808220000006,83381.76,1377.5756850000002,9448.399842,1456.8400000000001,148164.987663,41945.519763000004,1436.3999999999999,11696.399772,3973.69963,19757.009117999998,27636.0,1304.317341,13493.875800000002,206901.08196,622.0,50860.319924999996,1379.8800039999999,12517.96,5012.9997,42588.4122,1417.3693919999998,17957.238012,864853.593253
2019-01-11,13124.480472,24569.097931,24579.516920000002,19192.5792,9149.039999999999,13138.596576,11977.000350000002,1457.0811270000002,42925.608585999995,83517.12,1378.7175,9337.799684,1467.1599999999999,148208.98010800002,42182.054018999996,1440.3999199999998,11744.279543999999,4042.8421719999997,19633.556019000003,27631.770141,1277.376111,13459.207104999998,207024.88725000003,628.0,51058.7639,1389.04004,12527.840494,4849.5003,42898.953546000004,1425.201948,17874.990756,865111.4417190002
2019-01-14,12937.679688,24437.713348999998,24402.605010000003,18994.363776,8488.800000000001,13034.927346,11914.000350000002,1463.4853380000002,42086.281776,83720.15999999999,1377.625425,9115.019842,1480.9199999999998,148238.313328,41320.393191,1386.79992,11516.279543999999,4083.514921,19933.370303000003,27485.129012999998,1283.213286,13572.515335,207024.88725000003,631.0,50868.769775,1337.599976,12527.840494,4868.999849999999,42906.348099,1355.063472,17852.557716,861646.1773730002
2019-01-15,13396.480472,23046.742306,24533.54736,19402.288416,8583.12,13163.98575,11980.499999999998,1451.1214619999998,42565.895357999994,83584.8,1370.1293950000002,9081.84,1503.28,148252.97403,41956.784352,1359.6000800000002,11669.039999999999,4103.851086000001,19855.157784,28223.969718,1284.470532,13541.229130000002,207099.18387,654.0,50682.991225,1377.719972,12572.300494000001,4650.0,42958.105488,1341.534204,17862.528348,863109.170832
2019-01-16,13470.240232,23218.114311,24521.01197,19609.123391999998,8535.960000000001,13144.943976,12082.000000000002,1455.2130419999999,41868.274798000006,83855.52,1352.208555,8966.5,1468.8799999999999,148296.98863,42018.735339,1343.20008,11748.839772,4140.456602,19609.787274,28383.300423,1289.050596,13476.964284999998,207049.65777,564.0,50733.658449999995,1384.199952,12587.12,4733.999849999999,42203.93578200001,1346.874804,17855.051256000002,862313.811141
2019-01-17,13545.759768,24546.251296,25010.65091,19856.177568,8583.12,13117.439925,12201.000350000002,1482.4978650000003,42489.59463,83787.84000000001,1384.0292350000002,8934.899842,1499.8400000000001,148311.637516,42576.278913,1355.20004,11728.319772,4144.523416,20249.284594,28665.300423,1286.625915,13769.537005,207024.88725000003,574.0,50746.32685,1389.239992,12587.12,4686.0,42019.092125999996,1298.454192,17977.175244000002,866828.104637
2019-01-18,13569.599608,24686.203975999997,25403.478099999997,20289.955104,8701.02,13250.729786999998,12302.5007,1508.082822,42576.798306,83043.36,1404.233705,9108.700316,1541.1200000000001,148399.634222,42728.33754,1430.3999199999998,11856.0,4160.792348,20530.696032000003,28665.300423,1301.263965,13986.854039999998,206851.55586,618.0,50480.325725,1209.04004,12626.639506,4567.50015,42211.330335000006,1395.651348,18191.515356,868596.619234
